"Back","Indietro"
"We can't move the item to the wish list.","Impossibile spostare l'articolo nella lista dei desideri."
"Message length must not exceed %1 symbols","La lunghezza del messaggio non deve superare i %1 simboli"
"Email address can't be empty.","L\'indirizzo email non può essere vuoto."
"This wishlist can be shared %1 more times.","Questa lista dei desideri può essere condivisa altre %1 volte."
"Your wish list has been shared.","La tua lista dei desideri è stata condivisa."
"Please enter your comments.","Inserisci il tuo commento."
"Display number of items in wish list","Mostra il numero di articoli nella lista dei desideri."
"We can't specify a wish list.","Impossibile specificare una lista dei desideri."
"Cannot specify product.","Impossibile specificare il prodotto."
"Invalid item option format.","Formato opzione articolo non valida."
"We can't specify a wish list item.","Impossibile specificare un articolo della lista dei desideri."
"Share Wish List","Condividi lista dei desideri"
"Add All to Cart","Aggiungi tutto al carrello"
"Update Wish List","Aggiorna la lista dei desideri"
"View Product","Visualizza prodotto"
"RSS link to %1's wishlist","RSS link a %1 della lista dei desideri"
"This Wish List has no Items","Questa lista dei desideri non ha articoli"
"Wish List is empty now.","La lista dei desideri è vuota."
"Email addresses, separated by commas","Indirizzi email separati da virgoel"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Spunta questa casella se vuoi aggiungere un link ad un feed RSS per la tua lista dei desideri."
"Share Wishlist","Condividi lista dei desideri"
"Last Added Items","Ultimo oggetto aggiunto"
"Go to Wish List","Vai alla lista dei desideri"
"You have no items in your wish list.","Non hai articoli nella tua lista dei desideri."
"Are you sure you want to remove this product from your wishlist?","Sei sicuro di voler rimuovere questo prodotto dalla tua lista dei desideri?"
"Email Sender","Mittente email"
"General Options","Opzioni generali"
"Share Options","Opzioni di condivisione"
"Max Emails Allowed to be Sent","Numero massimo email inviabili"
"10 by default. Max - 10000","10 predefinito. Massimo - 10000"
"Email Text Length Limit","Limite lunghezza testo email"
"255 by default","255 predefinito"
"My Wish List Link","Link alla mia lista dei desideri"
"Display Wish List Summary","Mostra sommario lista dei desideri"
"No Items Found","Nessun articolo trovato"
"User description","Descrizione utente"
"Product Details and Comment","Commenti e dettagli prodotto"
